name,handedness,count,attribute,value
Gene Tenace,R,737,height,72.0
Bubba Morton,R,737,height,70.0
Ellie Rodriguez,R,737,height,71.0
Bryan Kelly,R,737,height,74.0
Bill Freehan,R,737,height,75.0
Steve Nicosia,R,737,height,70.0
Ted Savage,R,737,height,73.0
Pete Mackanin,R,737,height,74.0
Rich Dauer,R,737,height,72.0
Mick Kelleher,R,737,height,69.0
Don Sutton,R,737,height,73.0
Glenn Beckert,R,737,height,73.0
Ron Davis,R,737,height,72.0
Mike Shannon,R,737,height,75.0
John Leister,R,737,height,74.0
Don Cooper,R,737,height,73.0
Ed Romero,R,737,height,71.0
Rick Joseph,R,737,height,73.0
Bill Almon,R,737,height,75.0
Joe Ferguson,R,737,height,74.0
Jeff Jones,R,737,height,75.0
Jerry Terrell,R,737,height,71.0
Jerry Dybzinski,R,737,height,74.0
Gary Sutherland,R,737,height,72.0
Bob Coluccio,R,737,height,71.0
Ron Gardenhire,R,737,height,72.0
Alan Bannister,R,737,height,71.0
Bob Watson,R,737,height,72.0
Ken Harrelson,R,737,height,74.0
Bobby Wine,R,737,height,73.0
Stefan Wever,R,737,height,80.0
John Kennedy,R,737,height,72.0
Dave Johnson,R,737,height,73.0
Luis Melendez,R,737,height,72.0
Bill Plummer,R,737,height,73.0
Phil Niekro,R,737,height,73.0
Eric Hetzel,R,737,height,75.0
Ed Charles,R,737,height,70.0
Luis Gomez,R,737,height,69.0
Dave Lemanczyk,R,737,height,76.0
Al Jones,R,737,height,76.0
Floyd Rayford,R,737,height,70.0
Sam Hinds,R,737,height,78.0
Tony Conigliaro,R,737,height,75.0
Clay Christiansen,R,737,height,77.0
Jim Barr,R,737,height,75.0
Frank Duffy,R,737,height,73.0
Phil Garner,R,737,height,70.0
Larry Pashnick,R,737,height,75.0
Todd Fischer,R,737,height,70.0
Joe Nolan,L,316,height,71.0
Denny Doyle,L,316,height,69.0
John LaRose,L,316,height,73.0
Frank Tepedino,L,316,height,71.0
Jerry Kutzler,L,316,height,73.0
Darrell Evans,L,316,height,74.0
Tommy McCraw,L,316,height,72.0
Britt Burns,L,316,height,77.0
Fred Whitfield,L,316,height,73.0
Jerry Garvin,L,316,height,75.0
Kevin Mmahat,L,316,height,77.0
Wayne Garrett,L,316,height,71.0
Tony Muser,L,316,height,74.0
Kevin Stanfield,L,316,height,72.0
Jim Lyttle,L,316,height,72.0
Scot Thompson,L,316,height,75.0
Gene Locklear,L,316,height,70.0
Pat Putnam,L,316,height,72.0
Bob Fallon,L,316,height,75.0
Chris Chambliss,L,316,height,73.0
Tom Satriano,L,316,height,73.0
Walt Bond,L,316,height,79.0
Omar Moreno,L,316,height,74.0
Tony Ferreira,L,316,height,73.0
Bryan Oelkers,L,316,height,75.0
Kevin Bearse,L,316,height,74.0
Bruce Boisclair,L,316,height,74.0
Jim Fairey,L,316,height,70.0
Gary Thomasson,L,316,height,73.0
